STORE_ID;STORE_NAME;ADDRESS_CITY_NAME;ADDRESS_STATE_PROV_CODE;MSA;SEG_VALUE_NAME;PARKING_SPACE_QTY;SALES_AREA_SIZE_NUM;AVG_WEEKLY_BASKETS;Latitude;Longitude
389;SILVERLAKE;ERLANGER;KY;17140;MAINSTREAM;408;46073;24767;39,01994;-84,593645
2277;ANDERSON TOWNE CTR;CINCINNATI;OH;17140;UPSCALE;;81958;54053;39,058412;-84,339639
4259;WARSAW AVENUE;CINCINNATI;OH;17140;VALUE;;48813;31177;39,11161;-84,577994
6379;KINGWOOD;KINGWOOD;TX;26420;MAINSTREAM;;50237;20620;30,067048;-95,187146
6431;AT WARD ROAD;BAYTOWN;TX;26420;VALUE;350;43698;24322;29,740178;-94,952271
13853;RICHARDSON;RICHARDSON;TX;19100;MAINSTREAM;;53586;15787;32,938364;-96,722224
13859;MCKINNEY;MCKINNEY;TX;19100;MAINSTREAM;;47824;15345;33,213761;-96,63049
15755;KROGER JUNCTION S/C;PASADENA;TX;26420;VALUE;351;34373;18291;29,664894;-95,189838
23327;HOUSTON;HOUSTON;TX;26420;MAINSTREAM;;50722;30258;29,740102;-95,340069
23345;FRISCO;FRISCO;TX;19100;UPSCALE;;46369;21947;33,14972;-96,818788
25001;PINEWOOD;DAYTON;OH;19380;VALUE;351;34177;18035;39,764658;-84,150738
26983;DAYTON;DAYTON;OH;19380;VALUE;;48782;31461;39,797962;-84,245213
623;HOUSTON;HOUSTON;TX;26420;MAINSTREAM;;46930;36741;29,74097;-95,391302
2541;NORWOOD;ARLINGTON;TX;19100;MAINSTREAM;300;29231;11019;32,679872;-97,199639
4489;SWEETWATER PLAZA;SUGAR LAND;TX;26420;UPSCALE;;49030;21345;29,586305;-95,63229
10019;AT EASTEX FRWY;HOUSTON;TX;26420;VALUE;221;35675;19068;30,004891;-95,283492
13609;VANDALIA;VANDALIA;OH;19380;MAINSTREAM;;55663;21232;39,901261;-84,198878
15531;GOSHEN;GOSHEN;OH;17140;VALUE;;33667;13344;39,229923;-84,157249
17599;KEARNEY;MESQUITE;TX;19100;VALUE;300;36994;15134;32,770944;-96,599307
19265;LATONIA;COVINGTON;KY;17140;MAINSTREAM;;55685;31578;38,94711;-84,490048
21485;HOUSTON;KATY;TX;26420;MAINSTREAM;;46369;26472;29,717926;-95,767036
26981;SPRINGFIELD;SPRINGFIELD;OH;44220;MAINSTREAM;;42081;25122;39,937167;-83,83508
4503;ROCKWALL;ROCKWALL;TX;19100;MAINSTREAM;;56230;25289;32,882209;-96,472753
2513;HOUSTON;HOUSTON;TX;26420;UPSCALE;;61833;32423;29,789969;-95,410031
